Food,MealType,DietType,Calories,Protein,Fat,Price
Egg Biryani,Lunch,Non-Veg,691,23,15,189
Chicken Biryani (Ambur Style),Lunch,Non-Veg,643,52,24,208
Vada + Sambar,Snacks,Veg,292,12,12,58
Paneer Roll,Fast Food,Veg,493,26,21,150
Mutton Seekh Roll,Fast Food,Non-Veg,746,41,29,248
Fresh Sugarcane Juice,Snacks,Veg,87,2,1,57
Chicken Biryani,Dinner,Non-Veg,740,46,19,212
Pesarattu + Ginger Chutney,Dinner,Veg,353,11,14,89
Parotta + Veg Salna,Lunch,Veg,653,16,33,97
Nannari Sherbet,Breakfast,Veg,114,1,1,66
Kottu Parotta (Mutton),Lunch,Non-Veg,806,44,39,204
Mutton Samosa,Snacks,Non-Veg,361,24,20,62
Curd Rice + Pickle,Dinner,Veg,428,13,8,62
Mutton Meals (Full),Lunch,Non-Veg,877,61,31,361
Chicken Burger,Fast Food,Non-Veg,530,41,25,235
Tomato Rice,Lunch,Veg,324,9,14,55
Chicken Zinger Burger,Fast Food,Non-Veg,696,38,33,232
Cheese Veg Burger,Fast Food,Veg,628,17,34,150
Medu Vada + Sambar,Breakfast,Veg,328,10,17,88
Paneer Tikka Pizza,Fast Food,Veg,906,28,34,441
Dosai + Chicken Curry,Dinner,Non-Veg,572,29,26,227
Masala Omelette + Parotta,Breakfast,Non-Veg,534,29,27,172
Egg Puff,Snacks,Non-Veg,282,17,16,39
Prawn Masala + Rice,Dinner,Non-Veg,541,41,15,383
Poha (Aval) + Chutney,Snacks,Veg,270,10,6,54
Parotta + Veg Salna,Dinner,Veg,569,15,30,104
Cheese Veg Burger,Fast Food,Veg,462,17,18,150
Margherita Pizza,Fast Food,Veg,798,25,29,377
Mutton Kuzhambu + Rice,Lunch,Non-Veg,732,53,31,235
Chicken Noodles,Fast Food,Non-Veg,554,40,26,286
Tomato Rice,Dinner,Veg,432,10,10,107
Vada + Sambar,Snacks,Veg,327,13,14,41
Veg Briyani,Lunch,Veg,501,11,22,211
Mutton Biryani,Dinner,Non-Veg,974,44,35,435
Chappatti + Kurma,Dinner,Veg,462,14,11,71
Fresh Sugarcane Juice,Snacks,Veg,150,1,0,21
Filter Coffee,Breakfast,Veg,82,3,4,53
Idly + Sambar,Dinner,Veg,213,13,4,74
Kottu Parotta (Chicken),Dinner,Non-Veg,651,48,29,225
Chicken Lollipop,Snacks,Non-Veg,431,31,27,154
Kottu Parotta (Veg),Lunch,Veg,540,12,15,152
Chappatti + Kurma,Breakfast,Veg,369,13,14,125
Aappam + Veg Stew,Dinner,Veg,468,9,6,138
Chicken Lollipop,Snacks,Non-Veg,347,31,23,148
Chicken Puff,Snacks,Non-Veg,385,29,30,111
Chicken Burger,Fast Food,Non-Veg,604,37,17,152
Parotta + Veg Salna,Dinner,Veg,656,12,36,82
Rose Milk,Snacks,Veg,236,6,8,34
Chettinad Chicken Curry + Rice,Lunch,Non-Veg,769,38,31,216
Chicken Tikka Pizza,Fast Food,Non-Veg,869,45,38,638
Veg Momos,Fast Food,Veg,262,12,7,165
Idly + Sambar,Dinner,Veg,294,10,3,68
Fresh Fruit Juice,Breakfast,Veg,97,2,2,71
Puttu + Kadala Curry,Breakfast,Veg,517,19,13,144
Curd Rice + Pickle,Dinner,Veg,444,8,10,116
Veg Noodles,Fast Food,Veg,405,10,14,144
French Fries,Fast Food,Veg,499,4,23,127
Kottu Parotta (Chicken),Lunch,Non-Veg,772,36,25,170
Poori + Kurma,Breakfast,Veg,545,14,18,65
Parotta + Veg Salna,Breakfast,Veg,695,18,33,84
Bonda + Chutney,Snacks,Veg,205,9,16,21
Aappam + Veg Stew,Dinner,Veg,379,14,16,125
Meals (Light),Dinner,Veg,672,19,12,86
Chettinad Chicken Curry + Rice,Lunch,Non-Veg,790,45,21,285
Mutton Seekh Roll,Fast Food,Non-Veg,789,42,22,182
Veg Noodles,Fast Food,Veg,388,10,19,104
Paneer Roll,Snacks,Veg,391,21,21,136
Fish and Chips,Fast Food,Non-Veg,582,44,31,282
Mango Juice,Breakfast,Veg,186,1,0,50
Fresh Lemon Juice,Snacks,Veg,78,0,0,35
Meals (Full Thali),Lunch,Veg,993,21,21,211
Rava Dosai,Breakfast,Veg,358,5,13,100
Mutton Biryani,Lunch,Non-Veg,877,54,41,379
Sundal (Kadala/Peas),Snacks,Veg,202,13,10,31
Poori + Kurma,Breakfast,Veg,433,9,25,65
Aappam + Veg Stew,Dinner,Veg,330,11,12,144
Sambar Rice,Lunch,Veg,473,14,13,86
Egg Pongal,Breakfast,Non-Veg,420,28,14,138
Meals (Light),Dinner,Veg,581,13,11,80
Chicken Burger,Fast Food,Non-Veg,630,39,14,276
Veg Noodles,Fast Food,Veg,418,12,14,104
Poori + Kurma,Breakfast,Veg,504,9,19,86
Meals (Full Thali),Lunch,Veg,909,18,22,247
Peas Pulao + Raita,Lunch,Veg,465,16,17,89
Lemon Rice,Lunch,Veg,372,9,14,86
Egg Puff,Snacks,Non-Veg,313,15,16,71
Kottu Parotta (Veg),Dinner,Veg,673,14,25,182
Parotta + Veg Salna,Breakfast,Veg,565,13,31,125
Pongal + Sambar + Chutney,Breakfast,Veg,398,15,17,50
French Fries,Fast Food,Veg,366,8,24,191
Chicken Lollipop,Snacks,Non-Veg,413,27,18,260
Mango Juice,Breakfast,Veg,139,3,0,86
Sambar Rice,Dinner,Veg,476,17,6,86
Parotta + Chicken Salna,Lunch,Non-Veg,783,48,24,172
Margherita Pizza,Fast Food,Veg,879,20,24,333
Sambar Rice,Dinner,Veg,416,15,9,119
Egg Curry + Rice,Dinner,Non-Veg,525,29,18,135
Prawn Masala + Rice,Dinner,Non-Veg,674,47,26,345
Set Dosai + Sambar,Breakfast,Veg,398,9,7,70
Prawn Biryani,Lunch,Non-Veg,693,44,22,444
Bread + Omelette,Breakfast,Veg,302,10,11,56
Peas Pulao + Raita,Lunch,Veg,458,17,9,165
Chettinad Chicken + Rice,Dinner,Non-Veg,623,41,28,279
Prawn Biryani,Lunch,Non-Veg,881,51,19,492
Idiyappam + Coconut Milk,Breakfast,Veg,372,10,11,88
Poha (Aval) + Chutney,Snacks,Veg,203,7,7,35
Veg Noodles,Fast Food,Veg,521,11,13,107
Chicken Zinger Burger,Fast Food,Non-Veg,599,33,27,277
Upma + Chutney,Breakfast,Veg,304,6,13,81
Fresh Lemon Juice,Snacks,Veg,60,1,1,30
Poriyal + Rice + Dal,Lunch,Veg,517,18,13,91
Egg Dosai,Breakfast,Non-Veg,380,23,14,133
Chicken Zinger Burger,Fast Food,Non-Veg,785,36,27,205
Medu Vada + Sambar,Breakfast,Veg,362,7,17,92
Thaen Kaapi (Honey Coffee),Breakfast,Veg,139,3,3,67
Chicken Lollipop,Snacks,Non-Veg,416,22,16,243
Chettinad Chicken + Rice,Dinner,Non-Veg,606,44,22,151
Prawn Biryani,Lunch,Non-Veg,675,59,31,468
Pongal + Sambar + Chutney,Breakfast,Veg,354,13,12,104
Paal Pongal,Breakfast,Veg,387,8,19,65
Chappatti + Kurma,Dinner,Veg,398,16,18,114
Chicken Noodles,Fast Food,Non-Veg,566,38,23,174
Chicken 65,Snacks,Non-Veg,428,35,28,203
Mutton Seekh Roll,Fast Food,Non-Veg,563,40,34,189
Chicken Momos,Fast Food,Non-Veg,473,24,22,218
Fresh Lemon Juice,Snacks,Veg,74,1,0,22
Poha (Aval) + Chutney,Snacks,Veg,220,8,5,59
Veg Noodles,Fast Food,Veg,554,11,13,208
Bonda + Chutney,Snacks,Veg,269,7,20,50
Chicken Burger,Fast Food,Non-Veg,582,38,24,178
French Fries,Fast Food,Veg,420,8,26,110
Chicken Noodles,Fast Food,Non-Veg,690,28,16,266
Fish Fry + Rice,Lunch,Non-Veg,710,55,23,259
Chicken Zinger Burger,Fast Food,Non-Veg,611,45,37,174
Prawn Masala + Rice,Lunch,Non-Veg,596,37,18,330
Lemon Rice,Lunch,Veg,399,7,9,89
Tender Coconut Water,Snacks,Veg,82,2,1,74
Variety Rice (Festival Special),Lunch,Veg,555,8,12,121
Veg Burger,Fast Food,Veg,397,18,17,115
Chappatti + Kurma,Breakfast,Veg,362,10,18,110
Ghee Dosai,Breakfast,Veg,416,7,17,83
Fish Fry + Rice,Lunch,Non-Veg,661,38,25,208
Omelette + Bread,Breakfast,Non-Veg,379,19,20,78
Masala Vada Pav,Fast Food,Veg,372,9,15,91
Jigarthanda,Snacks,Veg,403,9,16,97
Egg Dosai,Breakfast,Non-Veg,364,19,11,93
Pani Puri (TN Style),Snacks,Veg,193,7,5,67
French Fries,Fast Food,Veg,384,6,15,140
Fish Curry + Rice,Lunch,Non-Veg,594,48,18,190
Upma + Chutney,Breakfast,Veg,260,10,12,49
Tamarind Rice (Puliyodharai),Lunch,Veg,381,6,16,80
Kottu Parotta (Chicken),Lunch,Non-Veg,662,55,19,159
Chicken 65,Snacks,Non-Veg,402,40,22,206
Medu Vada + Sambar,Breakfast,Veg,348,10,19,72
Sundal (Kadala/Peas),Snacks,Veg,215,10,8,58
Bonda + Chutney,Snacks,Veg,223,10,11,24
Veg Burger,Fast Food,Veg,515,16,15,204
Pongal + Vada + Sambar,Dinner,Veg,526,20,17,138
Chicken Meals (Full),Lunch,Non-Veg,803,46,29,274
Chicken Puff,Snacks,Non-Veg,402,23,23,103
Pongal + Sambar + Chutney,Breakfast,Veg,306,13,14,54
Veg Briyani,Lunch,Veg,555,12,10,160
Egg Fried Rice,Fast Food,Non-Veg,598,29,22,192
Chappatti + Dal Fry,Lunch,Veg,481,17,8,119
Plain Dosai + Chutney,Dinner,Veg,293,9,11,59
Kadalai Mittai (Peanut Chikki),Snacks,Veg,297,6,11,16
Paneer Tikka Pizza,Fast Food,Veg,771,29,24,362
Chicken Tikka Pizza,Fast Food,Non-Veg,1015,46,48,430
Parotta + Veg Salna,Dinner,Veg,649,16,25,152
Dosai + Chicken Curry,Dinner,Non-Veg,553,31,15,192
Parotta + Chicken Salna,Dinner,Non-Veg,835,41,25,216
Fresh Lemon Juice,Snacks,Veg,75,1,1,43
Sundal (Kadala/Peas),Snacks,Veg,162,15,8,46
Meals (Full Thali),Lunch,Veg,882,26,17,134
Sugarcane Juice,Breakfast,Veg,146,2,1,35
Rose Milk,Snacks,Veg,205,8,8,56
Parotta + Kurma,Breakfast,Veg,560,14,29,95
Chicken Zinger Burger,Fast Food,Non-Veg,682,36,21,185
Veg Burger,Fast Food,Veg,476,15,19,129
Aappam + Stew,Breakfast,Veg,397,10,16,144
Veg Noodles,Fast Food,Veg,469,8,19,165
Crab Curry + Rice,Lunch,Non-Veg,710,46,14,496
Vada + Sambar,Snacks,Veg,370,7,21,82
Kottu Parotta (Chicken),Dinner,Non-Veg,711,49,24,221
Vada + Sambar,Snacks,Veg,341,10,11,77
Chicken Meals (Full),Lunch,Non-Veg,954,54,34,161
Kottu Parotta (Veg),Dinner,Veg,626,14,16,133
Idly + Chicken Kurma,Dinner,Non-Veg,521,29,14,127
Chicken Meals (Full),Lunch,Non-Veg,994,54,25,196
Chicken Noodles,Fast Food,Non-Veg,647,39,14,177
Keerai Dosai,Breakfast,Veg,332,9,11,88
Poori + Kurma,Breakfast,Veg,510,13,24,105
Poriyal + Rice + Dal,Lunch,Veg,538,15,11,114
Kozhukattai,Snacks,Veg,254,6,4,37
Onion Dosai,Breakfast,Veg,330,6,10,73
Coconut Rice,Lunch,Veg,464,8,18,66
Veg Noodles,Fast Food,Veg,551,10,15,218
Chicken Puff,Snacks,Non-Veg,362,19,19,111
Filter Coffee,Breakfast,Veg,89,1,6,56
Set Dosai + Sambar,Breakfast,Veg,321,10,13,105
Fish and Chips,Fast Food,Non-Veg,646,35,23,323
Sundal (Kadala/Peas),Snacks,Veg,246,9,7,40
Paneer Roll,Fast Food,Veg,569,18,15,178
Ven Pongal,Breakfast,Veg,369,14,18,70
Egg Puff,Snacks,Non-Veg,394,11,16,47
Chicken 65,Snacks,Non-Veg,484,40,30,100
Chicken Zinger Burger,Fast Food,Non-Veg,722,41,27,307
Fish Bajji,Snacks,Non-Veg,303,19,12,116
Parotta + Chicken Salna,Lunch,Non-Veg,667,42,27,240
Pongal + Sambar + Chutney,Breakfast,Veg,386,12,12,74
Peas Pulao + Raita,Lunch,Veg,474,16,14,104
Bread + Omelette,Breakfast,Veg,372,10,16,78
Fish and Chips,Fast Food,Non-Veg,640,42,24,375
Ghee Dosai,Breakfast,Veg,393,9,28,129
Chicken Meals (Full),Lunch,Non-Veg,737,41,20,164
French Fries,Fast Food,Veg,335,4,16,103
Tomato Rice,Dinner,Veg,348,9,12,120
Veg Noodles,Fast Food,Veg,516,10,19,170
Rasam Rice,Lunch,Veg,291,9,7,87
Kottu Parotta (Mutton),Lunch,Non-Veg,712,52,24,370
Idiyappam + Kurma,Dinner,Veg,431,13,6,162
Fish Biryani,Lunch,Non-Veg,700,55,23,222
Curd Rice + Pickle,Lunch,Veg,436,11,10,92
Parotta + Veg Salna,Lunch,Veg,743,13,26,126
Jigarthanda,Snacks,Veg,345,9,15,104
Poha (Aval) + Chutney,Snacks,Veg,299,8,7,45
Mutton Seekh Roll,Fast Food,Non-Veg,723,49,19,338
Pongal + Sambar + Chutney,Breakfast,Veg,422,10,8,72
Plain Dosai + Chutney,Breakfast,Veg,255,9,6,62
Meals (Light),Dinner,Veg,476,17,10,138
Idly + Sambar,Dinner,Veg,311,8,4,43
Mutton Meals (Full),Lunch,Non-Veg,1009,64,32,201
Chappatti + Kurma,Breakfast,Veg,396,11,11,101
Aappam + Stew,Breakfast,Veg,415,7,9,82
Fresh Lemon Juice,Snacks,Veg,89,1,1,49
Sambar Rice,Lunch,Veg,515,20,8,71
Corn Chaat,Snacks,Veg,282,6,6,63
Crab Curry + Rice,Lunch,Non-Veg,695,33,18,576
Kottu Parotta (Chicken),Dinner,Non-Veg,588,55,21,152
Fish and Chips,Fast Food,Non-Veg,621,30,24,361
Egg Curry + Rice,Dinner,Non-Veg,614,22,19,138
Margherita Pizza,Fast Food,Veg,844,24,34,416
Aloo Bonda,Snacks,Veg,288,5,19,41
Parotta + Mutton Salna,Dinner,Non-Veg,734,50,48,296
Idly + Sambar,Dinner,Veg,213,13,7,40
Masala Omelette + Parotta,Breakfast,Non-Veg,520,29,29,155
Veg Momos,Fast Food,Veg,337,11,6,146
Pongal + Vada + Sambar,Dinner,Veg,462,12,22,97
Jigarthanda,Snacks,Veg,313,9,16,90
Prawn Biryani,Lunch,Non-Veg,869,52,31,383
Paneer Roll,Snacks,Veg,541,22,20,175
Squid Fry + Rice,Lunch,Non-Veg,592,46,25,206
Rava Dosai,Breakfast,Veg,324,9,12,60
Veg Burger,Fast Food,Veg,373,13,15,153
Thengai Paal Dosai,Breakfast,Veg,394,11,17,89
Paneer Roll,Snacks,Veg,440,23,16,100
Chicken Noodles,Fast Food,Non-Veg,544,38,24,250
Poori + Kurma,Breakfast,Veg,430,8,22,79
Fish and Chips,Fast Food,Non-Veg,691,36,37,327
Paal Pongal,Breakfast,Veg,446,11,10,99
Sambar Rice,Lunch,Veg,393,13,12,77
Kadalai Mittai (Peanut Chikki),Snacks,Veg,309,12,18,32
Idly (4 pcs) + Sambar + Chutney,Breakfast,Veg,346,17,6,65
Veg Burger,Fast Food,Veg,378,14,18,115
Bajji (Onion/Plantain),Snacks,Veg,327,7,21,43
Mutton Samosa,Snacks,Non-Veg,326,24,15,67
Aappam + Veg Stew,Dinner,Veg,427,12,8,112
Idiyappam + Coconut Milk,Breakfast,Veg,377,5,4,68
Mutton Biryani,Dinner,Non-Veg,767,61,41,411
Chicken Fried Rice,Fast Food,Non-Veg,654,44,23,208
Meals (Full Thali),Lunch,Veg,880,27,13,135
Squid Fry + Rice,Lunch,Non-Veg,511,30,20,289
Sambar Rice,Lunch,Veg,376,15,7,121
Parotta + Veg Salna,Breakfast,Veg,612,12,24,92
Chicken Biryani (Dindigul Style),Lunch,Non-Veg,735,51,31,229
Aappam + Stew,Breakfast,Veg,440,10,6,137
French Fries,Fast Food,Veg,453,4,27,175
Veg Momos,Fast Food,Veg,362,9,13,150
Aloo Bonda,Snacks,Veg,359,4,18,35
Chicken Tikka Pizza,Fast Food,Non-Veg,907,38,38,633
Set Dosai + Sambar,Breakfast,Veg,395,8,14,101
Murukku,Snacks,Veg,388,6,18,32
Pani Puri (TN Style),Snacks,Veg,254,7,7,48
Parotta + Chicken Salna,Dinner,Non-Veg,726,38,40,152
Kadalai Mittai (Peanut Chikki),Snacks,Veg,302,7,11,14
Lemon Rice,Lunch,Veg,338,10,18,64
Idiyappam + Coconut Milk,Breakfast,Veg,317,6,10,62
Cheese Veg Burger,Fast Food,Veg,451,18,19,245
Thengai Paal Dosai,Breakfast,Veg,404,8,13,104
Filter Coffee,Breakfast,Veg,118,2,5,20
Curd Rice + Pickle,Lunch,Veg,415,15,9,51
Pongal + Chutney,Dinner,Veg,422,9,13,75
Pongal + Vada + Sambar,Dinner,Veg,460,16,24,137
Chicken Fried Rice,Fast Food,Non-Veg,634,44,21,290
Kozhukattai,Snacks,Veg,297,4,10,43
Kottu Parotta (Chicken),Dinner,Non-Veg,634,38,28,156
Mutton Samosa,Snacks,Non-Veg,340,14,17,71
Chicken 65,Snacks,Non-Veg,356,34,17,142
Kottu Parotta (Chicken),Lunch,Non-Veg,777,47,24,285
Chicken Puff,Snacks,Non-Veg,429,27,26,68
"Meals (Sambar, Rasam, Kootu, Rice, Papad, Pickle)",Lunch,Veg,514,17,8,136
Set Dosai + Sambar,Breakfast,Veg,428,11,14,79
Jigarthanda,Snacks,Veg,362,6,16,102
Idly + Chicken Kurma,Dinner,Non-Veg,463,35,14,211
Keema Parotta,Breakfast,Non-Veg,774,32,25,143
Idly + Chicken Kurma,Dinner,Non-Veg,415,28,20,167
Meals (Light),Dinner,Veg,619,17,10,85
Prawn Masala + Rice,Lunch,Non-Veg,629,55,16,319
Chicken 65,Snacks,Non-Veg,377,41,22,134
Veg Briyani,Lunch,Veg,452,11,15,168
Plain Dosai + Chutney,Dinner,Veg,246,5,13,57
Mutton Biryani,Lunch,Non-Veg,918,45,41,461
Chettinad Chicken Curry + Rice,Lunch,Non-Veg,667,42,27,267
Chicken Burger,Fast Food,Non-Veg,672,39,16,239
Mutton Samosa,Snacks,Non-Veg,400,22,14,50
Parotta + Veg Salna,Dinner,Veg,633,10,33,147
Samosa,Snacks,Veg,270,5,19,35
Veg Momos,Fast Food,Veg,263,13,10,153
Veg Fried Rice,Fast Food,Veg,400,11,16,178
Egg Fried Rice,Fast Food,Non-Veg,483,26,19,232
Rava Dosai,Breakfast,Veg,265,10,16,111
Egg Dosai,Breakfast,Non-Veg,418,18,17,113
Prawn Masala + Rice,Lunch,Non-Veg,544,39,21,262
Parotta + Chicken Salna,Lunch,Non-Veg,845,38,22,225
Veg Burger,Fast Food,Veg,480,14,24,121
Idly (2 pcs) + Sambar + Chutney,Breakfast,Veg,206,9,2,45
Paneer Roll,Fast Food,Veg,467,24,18,235
Parotta + Chicken Salna,Dinner,Non-Veg,717,44,30,164
Kottu Parotta (Chicken),Lunch,Non-Veg,632,43,33,280
Rose Milk,Snacks,Veg,182,8,5,34
Fish and Chips,Fast Food,Non-Veg,796,43,36,444
Pongal + Chutney,Dinner,Veg,449,12,16,92
Chettinad Chicken Curry + Rice,Lunch,Non-Veg,780,48,20,229
Vada + Sambar,Snacks,Veg,317,9,10,66
Paniyaram + Chutney,Breakfast,Veg,378,7,14,101
Chicken Tikka Pizza,Fast Food,Non-Veg,887,46,48,405
Parotta + Chicken Salna,Dinner,Non-Veg,681,37,35,249
Mango Juice,Breakfast,Veg,207,2,1,115
Parotta + Veg Salna,Breakfast,Veg,569,18,35,118
Idly + Chicken Kurma,Dinner,Non-Veg,554,35,14,142
Bread + Omelette,Breakfast,Veg,328,12,14,56
Kottu Parotta (Veg),Lunch,Veg,461,10,17,196
Vada + Sambar,Snacks,Veg,305,9,15,78
Paneer Tikka Pizza,Fast Food,Veg,721,33,28,402
Kottu Parotta (Chicken),Dinner,Non-Veg,787,45,25,155
Keema Parotta,Breakfast,Non-Veg,596,41,28,183
Egg Fried Rice,Fast Food,Non-Veg,457,21,15,130
Kottu Parotta (Veg),Dinner,Veg,604,10,21,116
Parotta + Veg Salna,Lunch,Veg,666,12,25,90
Meals (Light),Dinner,Veg,487,17,16,119
Chicken Burger,Fast Food,Non-Veg,464,31,19,214
Tender Coconut Water,Snacks,Veg,68,1,1,42
Masala Omelette + Parotta,Breakfast,Non-Veg,495,23,24,159
Medu Vada + Sambar,Breakfast,Veg,334,9,18,58
Chicken Burger,Fast Food,Non-Veg,479,39,17,132
Fish Biryani,Dinner,Non-Veg,677,44,29,297
Aappam + Veg Stew,Dinner,Veg,336,9,15,132
Pongal + Sambar + Chutney,Breakfast,Veg,378,12,16,68
Margherita Pizza,Fast Food,Veg,623,20,28,488
Chicken Puff,Snacks,Non-Veg,420,19,18,91
Thengai Paal Dosai,Breakfast,Veg,336,8,13,71
Fish Curry + Rice,Dinner,Non-Veg,521,46,23,211
Sambar Rice,Dinner,Veg,516,13,10,63
Plain Dosai + Chutney,Dinner,Veg,283,5,13,64
Jigarthanda,Snacks,Veg,316,8,8,123
Aloo Bonda,Snacks,Veg,286,8,11,51
Chicken 65,Snacks,Non-Veg,374,31,24,121
Parotta + Mutton Salna,Dinner,Non-Veg,984,44,30,286
Upma + Chutney,Breakfast,Veg,214,8,13,86
Pongal + Chutney,Dinner,Veg,434,11,18,70
Squid Fry + Rice,Lunch,Non-Veg,638,30,24,240
Chettinad Chicken Curry + Rice,Lunch,Non-Veg,745,58,20,250
Parotta + Veg Salna,Lunch,Veg,604,15,25,148
Pongal + Sambar + Chutney,Breakfast,Veg,379,12,13,83
Paniyaram + Chutney,Breakfast,Veg,351,9,8,74
Aloo Bonda,Snacks,Veg,227,6,19,33
Medu Vada + Sambar,Breakfast,Veg,281,13,18,63
Meals (Light),Dinner,Veg,646,18,13,82
Chicken Biryani (Dindigul Style),Lunch,Non-Veg,722,51,25,268
Parotta + Veg Salna,Lunch,Veg,647,15,34,94
Meals (Light),Dinner,Veg,551,19,10,135
Mutton Meals (Full),Lunch,Non-Veg,994,57,33,255
Mutton Seekh Roll,Fast Food,Non-Veg,788,34,20,207
Veg Burger,Fast Food,Veg,450,13,16,197
Margherita Pizza,Fast Food,Veg,773,23,25,451
Plain Dosai + Chutney,Dinner,Veg,301,8,12,56
Paneer Tikka Pizza,Fast Food,Veg,909,24,33,416
Cheese Veg Burger,Fast Food,Veg,465,21,27,290
Chicken Puff,Snacks,Non-Veg,338,18,27,84
Idiyappam + Coconut Milk,Breakfast,Veg,398,7,4,115
Fish Curry + Rice,Dinner,Non-Veg,451,44,21,260
Veg Briyani,Lunch,Veg,569,10,21,174
Medu Vada + Sambar,Breakfast,Veg,315,11,16,107
Peas Pulao + Raita,Lunch,Veg,523,14,11,149
Idiyappam + Kurma,Dinner,Veg,337,14,9,168
Bajji (Onion/Plantain),Snacks,Veg,303,4,20,41
Dosai + Chicken Curry,Dinner,Non-Veg,531,44,19,123
Pesarattu + Ginger Chutney,Dinner,Veg,314,16,6,118
Egg Pongal,Breakfast,Non-Veg,365,23,15,86
Masala Vada Pav,Fast Food,Veg,313,10,19,59
Parotta + Mutton Salna,Lunch,Non-Veg,933,51,40,195
Egg Biryani,Lunch,Non-Veg,624,26,19,122
Kottu Parotta (Chicken),Lunch,Non-Veg,699,44,26,203
Omelette + Bread,Breakfast,Non-Veg,430,23,14,97
Prawn Masala + Rice,Lunch,Non-Veg,578,35,21,342
Mutton Biryani,Dinner,Non-Veg,897,48,32,475
Thengai Paal Dosai,Breakfast,Veg,382,7,16,122
Poriyal + Rice + Dal,Lunch,Veg,509,15,8,128
Plain Dosai + Chutney,Dinner,Veg,259,7,6,51
Mutton Samosa,Snacks,Non-Veg,301,20,23,56
Corn Chaat,Snacks,Veg,222,5,7,95
Parotta + Veg Salna,Lunch,Veg,551,14,32,154
Parotta + Veg Salna,Lunch,Veg,606,13,30,108
Puttu + Kadala Curry,Breakfast,Veg,464,15,11,91
Parotta + Veg Salna,Breakfast,Veg,529,11,20,121
Idiyappam + Kurma,Dinner,Veg,449,9,14,162
Aloo Bonda,Snacks,Veg,232,8,13,45
Poha (Aval) + Chutney,Snacks,Veg,248,5,8,33
Veg Fried Rice,Fast Food,Veg,459,15,16,146
Curd Rice + Pickle,Dinner,Veg,319,10,9,81
Fresh Sugarcane Juice,Snacks,Veg,98,0,1,27
Veg Noodles,Fast Food,Veg,470,14,19,154
Fish Biryani,Dinner,Non-Veg,722,38,18,204
Onion Dosai,Breakfast,Veg,267,10,7,71
Veg Fried Rice,Fast Food,Veg,520,10,22,169
Egg Pongal,Breakfast,Non-Veg,486,18,19,144
Chicken 65,Snacks,Non-Veg,463,37,21,121
Jigarthanda,Snacks,Veg,396,8,17,130
Squid Fry + Rice,Lunch,Non-Veg,563,43,21,230
Sambar Rice,Lunch,Veg,354,17,8,120
"Meals (Sambar, Rasam, Kootu, Rice, Papad, Pickle)",Lunch,Veg,733,24,14,99
Pongal + Chutney,Dinner,Veg,405,9,11,82
Pongal + Vada + Sambar,Dinner,Veg,536,13,15,141
Paneer Roll,Snacks,Veg,450,25,16,106
Idiyappam + Kurma,Dinner,Veg,478,15,8,127
Idly (4 pcs) + Sambar + Chutney,Breakfast,Veg,378,13,7,62
Dosai + Chicken Curry,Dinner,Non-Veg,503,43,20,175
Fish Biryani,Lunch,Non-Veg,693,39,31,227
Egg Fried Rice,Fast Food,Non-Veg,524,31,17,138
Vada + Sambar,Snacks,Veg,372,12,10,45
Thaen Kaapi (Honey Coffee),Breakfast,Veg,92,1,2,52
Fish Bajji,Snacks,Non-Veg,427,30,24,92
Paneer Roll,Fast Food,Veg,558,19,14,175
Chicken Noodles,Fast Food,Non-Veg,557,44,21,169
Vada + Sambar,Snacks,Veg,369,12,20,95
Veg Noodles,Fast Food,Veg,409,14,14,108
Prawn Bajji,Snacks,Non-Veg,348,30,18,128
Veg Fried Rice,Fast Food,Veg,403,11,16,118
Parotta + Veg Salna,Dinner,Veg,502,18,20,158
Egg Puff,Snacks,Non-Veg,300,10,23,63
Chicken Lollipop,Snacks,Non-Veg,333,30,24,175
Kottu Parotta (Veg),Lunch,Veg,643,15,20,140
Chicken Kadai + Idly,Breakfast,Non-Veg,510,39,23,221
Filter Coffee,Breakfast,Veg,69,3,2,50
Aloo Bonda,Snacks,Veg,291,4,22,31
Egg Dosai,Breakfast,Non-Veg,365,26,21,127
French Fries,Fast Food,Veg,368,6,16,155
Tomato Rice,Lunch,Veg,390,11,9,117
Kadalai Mittai (Peanut Chikki),Snacks,Veg,281,12,17,17
Fish Biryani,Dinner,Non-Veg,683,41,22,262
Jigarthanda,Snacks,Veg,313,8,9,77
Chicken Biryani,Dinner,Non-Veg,788,47,19,254
Ven Pongal,Breakfast,Veg,360,14,19,102
Chicken Roll / Kathi Roll,Fast Food,Non-Veg,480,39,27,210
Vada + Sambar,Snacks,Veg,279,11,13,79
Aloo Bonda,Snacks,Veg,322,5,22,44
Fish and Chips,Fast Food,Non-Veg,763,41,32,317
Idiyappam + Coconut Milk,Breakfast,Veg,310,8,4,123
Chicken 65,Snacks,Non-Veg,513,31,22,213
Idly + Sambar,Dinner,Veg,292,7,3,83
Parotta + Veg Salna,Lunch,Veg,671,10,35,148
Samosa,Snacks,Veg,339,8,13,53
Meals (Full Thali),Lunch,Veg,921,29,14,140
Veg Briyani,Lunch,Veg,517,12,20,150
Fresh Sugarcane Juice,Snacks,Veg,105,1,0,40
Veg Noodles,Fast Food,Veg,515,15,14,199
Bread + Omelette,Breakfast,Veg,364,14,18,93
Sambar Rice,Dinner,Veg,394,18,12,94
Kottu Parotta (Mutton),Lunch,Non-Veg,921,49,34,234
